BRPC_PUMA_2000,BRPC_PUMA_2010,CCC_PUMA_2000,CCC_PUMA_2010,CMRPC_PUMA_2000,CMRPC_PUMA_2010,FRCOG_PUMA_2000,FRCOG_PUMA_2010,MAPC_PUMA_2000,MAPC_PUMA_2010,MRPC_PUMA_2000,MRPC_PUMA_2010,MVC_PUMA_2000,MVC_PUMA_2010,MVPC_PUMA_2000,MVPC_PUMA_2010,NMCOG_PUMA_2000,NMCOG_PUMA_2010,NPEDC_PUMA_2000,NPEDC_PUMA_2010,OCPC_PUMA_2000,OCPC_PUMA_2010,PVPC_PUMA_2000,PVPC_PUMA_2010,SRPEDD_PUMA_2000,SRPEDD_PUMA_2010
100,100,4700,4700,1500,300,200,200,400,503,400,301,4700,4700,900,703,500,501,4700,4700,4600,4903,1600,1600,4100,4902
200,,4800,4800,2100,302,,,900,504,300,400,4800,4800,700,701,600,502,4800,4800,4000,4000,1700,1900,4200,4200
,,,,2200,303,,,1000,505,,,,,800,702,,1300,,,4100,4901,1800,1901,4300,4301
,,,,2300,304,,,1100,506,,,,,,,,,,,,4902,1900,1902,4400,4302
,,,,,,,,1200,507,,,,,,,,,,,,,,,4500,4303
,,,,,,,,1300,508,,,,,,,,,,,,,,,,4500
,,,,,,,,1400,703,,,,,,,,,,,,,,,,
,,,,,,,,2400,704,,,,,,,,,,,,,,,,
,,,,,,,,2500,1000,,,,,,,,,,,,,,,,
,,,,,,,,2600,1400,,,,,,,,,,,,,,,,
,,,,,,,,2700,2400,,,,,,,,,,,,,,,,
,,,,,,,,2800,2800,,,,,,,,,,,,,,,,
,,,,,,,,2900,3301,,,,,,,,,,,,,,,,
,,,,,,,,3000,3302,,,,,,,,,,,,,,,,
,,,,,,,,3100,3303,,,,,,,,,,,,,,,,
,,,,,,,,3200,3304,,,,,,,,,,,,,,,,
,,,,,,,,3301,3305,,,,,,,,,,,,,,,,
,,,,,,,,3302,3306,,,,,,,,,,,,,,,,
,,,,,,,,3303,3400,,,,,,,,,,,,,,,,
,,,,,,,,3304,3500,,,,,,,,,,,,,,,,
,,,,,,,,3305,3601,,,,,,,,,,,,,,,,
,,,,,,,,3400,3602,,,,,,,,,,,,,,,,
,,,,,,,,3500,3603,,,,,,,,,,,,,,,,
,,,,,,,,3600,3900,,,,,,,,,,,,,,,,
,,,,,,,,3700,4903,,,,,,,,,,,,,,,,
,,,,,,,,3800,,,,,,,,,,,,,,,,,
,,,,,,,,3900,,,,,,,,,,,,,,,,,
