muni_id,municipal,comm_type,comm_name,Comm_low,Comm_high,Edu_publ,Industrial,Unit
1,Abington,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
2,Acton,3,Maturing Suburbs,571.9686823,476.7972856,898.3260699,988.9396302,square feet per job
3,Acushnet,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
4,Adams,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
5,Agawam,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
6,Alford,5,Rural Towns,620.23404,742.974303,898.3260699,1423.824031,square feet per job
7,Amesbury,2,Regional Urban Centers,620.23404,742.974303,885.7189171,1423.824031,square feet per job
8,Amherst,2,Regional Urban Centers,620.23404,742.974303,885.7189171,1423.824031,square feet per job
9,Andover,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
10,Arlington,1,Inner Core,327.0760823,257.2300903,604.5442389,800.8608823,square feet per job
11,Ashburnham,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
12,Ashby,5,Rural Towns,620.23404,742.974303,898.3260699,1423.824031,square feet per job
13,Ashfield,5,Rural Towns,620.23404,742.974303,898.3260699,1423.824031,square feet per job
14,Ashland,3,Maturing Suburbs,571.9686823,476.7972856,898.3260699,988.9396302,square feet per job
15,Athol,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
16,Attleboro,2,Regional Urban Centers,620.23404,742.974303,885.7189171,1423.824031,square feet per job
17,Auburn,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
18,Avon,3,Maturing Suburbs,571.9686823,476.7972856,898.3260699,988.9396302,square feet per job
19,Ayer,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
20,Barnstable,3,Maturing Suburbs,571.9686823,476.7972856,898.3260699,988.9396302,square feet per job
21,Barre,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
22,Becket,5,Rural Towns,620.23404,742.974303,898.3260699,1423.824031,square feet per job
23,Bedford,3,Maturing Suburbs,571.9686823,476.7972856,898.3260699,988.9396302,square feet per job
24,Belchertown,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
25,Bellingham,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
26,Belmont,1,Inner Core,327.0760823,257.2300903,604.5442389,800.8608823,square feet per job
27,Berkley,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
28,Berlin,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
29,Bernardston,5,Rural Towns,620.23404,742.974303,898.3260699,1423.824031,square feet per job
30,Beverly,2,Regional Urban Centers,620.23404,742.974303,885.7189171,1423.824031,square feet per job
31,Billerica,3,Maturing Suburbs,571.9686823,476.7972856,898.3260699,988.9396302,square feet per job
32,Blackstone,4,Developing Suburbs,501.5395247,431.5265874,840.9978761,1411.125717,square feet per job
