V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000001617,10,5,2,1,2,1,10,12,1,1,1
2,2015000001919,15,3,2,1,2,1,15,12,2,1,1
3,2015000001919,15,4,1,1,2,2,16,13,2,1,1
4,2015000003095,4,5,1,4,1,1,4,14,1,1,1
5,2015000006776,3,1,1,3,1,1,3,12,3,1,1
6,2015000006776,3,2,2,4,1,2,4,11,3,1,1
7,2015000006776,3,2,2,1,2,3,7,4,3,1,1
8,2015000007597,11,5,1,2,1,1,11,10,1,1,1
9,2015000007831,2,5,1,4,2,1,2,13,1,1,1
10,2015000009120,3,5,2,2,1,1,2,8,1,1,1
11,2015000011724,24,3,2,2,1,1,24,11,2,1,1
12,2015000011724,24,4,1,1,1,2,28,11,2,1,1
13,2015000019314,3,5,2,2,1,1,3,9,1,1,1
14,2015000020283,17,1,1,4,1,1,17,10,3,1,1
15,2015000020283,17,2,2,2,2,2,22,10,3,1,1
16,2015000020283,17,2,2,1,,3,35,4,3,1,1
17,2015000023025,2,3,2,1,2,1,3,12,2,1,1
18,2015000023025,2,4,1,1,1,2,3,7,2,1,1
19,2015000025377,22,5,1,2,1,1,23,8,1,1,1
20,2015000029494,41,3,2,1,1,1,42,9,3,1,1
21,2015000029494,41,4,1,1,1,2,18,6,3,1,1
22,2015000029494,41,4,1,1,1,3,19,5,3,1,1
23,2015000030253,14,3,1,4,2,1,14,15,2,1,1
24,2015000030253,14,4,2,2,2,2,15,14,2,1,1
25,2015000031856,7,3,1,3,1,1,7,13,2,1,1
26,2015000031856,7,4,2,4,1,2,7,13,2,1,1
27,2015000033414,3,5,2,1,1,1,4,15,1,1,1
28,2015000035995,5,5,2,1,2,1,4,14,1,1,1
29,2015000036490,13,3,2,1,2,1,13,18,2,1,1
30,2015000036490,13,4,1,1,2,2,11,12,2,1,1
31,2015000036627,7,3,1,1,2,1,7,15,2,1,1
32,2015000036627,7,4,2,2,2,2,8,14,2,1,1
33,2015000036812,45,1,2,1,2,1,45,7,6,1,1
34,2015000036812,45,2,1,1,,2,22,3,6,1,1
35,2015000036812,45,2,2,1,,3,117,2,6,1,1
36,2015000036812,45,2,1,1,,4,23,2,6,1,1
37,2015000036812,45,2,1,1,,5,23,3,6,1,1
38,2015000036812,45,2,1,1,1,6,44,8,6,1,1
39,2015000037913,3,3,1,2,1,1,3,12,2,1,1
