V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000000185,27,5,1,1,2,1,28,7,1,1,1
2,2015000001443,16,1,1,1,1,1,16,10,4,1,1
3,2015000001443,16,2,2,1,1,2,21,9,4,1,1
4,2015000001443,16,2,1,1,,3,19,1,4,1,1
5,2015000001443,16,2,1,1,,4,21,3,4,1,1
6,2015000002572,20,5,2,1,1,1,20,14,1,1,1
7,2015000003643,21,3,2,3,1,1,21,6,2,1,1
8,2015000003643,21,4,1,3,1,2,20,6,2,1,1
9,2015000004323,14,1,1,3,1,1,13,6,3,1,1
10,2015000004323,14,2,2,4,1,2,14,6,3,1,1
11,2015000004323,14,2,1,1,,3,18,1,3,1,1
12,2015000004332,13,3,1,3,1,1,12,13,2,1,1
13,2015000004332,13,4,2,2,1,2,13,12,2,1,1
14,2015000004562,14,5,1,1,2,1,13,16,1,1,1
15,2015000006530,21,1,2,3,1,1,20,9,4,1,1
16,2015000006530,21,2,1,1,,2,26,2,4,1,1
17,2015000006530,21,2,2,1,,3,24,2,4,1,1
18,2015000006530,21,2,1,1,,4,25,2,4,1,1
19,2015000007666,6,1,1,2,1,1,6,7,4,1,1
20,2015000007666,6,2,2,3,1,2,6,8,4,1,1
21,2015000007666,6,2,2,1,,3,6,3,4,1,1
22,2015000007666,6,2,2,1,,4,7,1,4,1,1
23,2015000007802,25,3,2,1,2,1,24,16,2,1,1
24,2015000007802,25,4,1,1,2,2,25,16,2,1,1
25,2015000007869,20,1,1,2,1,1,20,6,6,1,1
26,2015000007869,20,2,2,2,2,2,22,5,6,1,1
27,2015000007869,20,2,2,2,2,3,22,5,6,1,1
28,2015000007869,20,2,2,2,2,4,22,5,6,1,1
29,2015000007869,20,2,2,1,1,5,23,5,6,1,1
30,2015000007869,20,2,2,1,,6,24,4,6,1,1
31,2015000008252,20,5,1,1,2,1,20,13,1,1,1
32,2015000008519,10,3,2,2,1,1,10,12,2,1,1
33,2015000008519,10,4,1,1,2,2,18,15,2,1,1
34,2015000008937,8,5,2,2,2,1,8,16,1,1,1
35,2015000009100,9,3,2,3,2,1,9,13,2,1,1
36,2015000009100,9,4,1,3,2,2,8,14,2,1,1
37,2015000009372,21,3,2,2,1,1,21,11,2,1,1
38,2015000009372,21,4,1,3,1,2,28,6,2,1,1
39,2015000009604,13,5,1,1,2,1,13,13,1,1,1
40,2015000011161,22,3,1,3,1,1,22,11,3,1,1
41,2015000011161,22,4,2,3,1,2,22,10,3,1,1
42,2015000011161,22,4,2,3,2,3,30,5,3,1,1
43,2015000011174,22,3,1,4,1,1,23,14,2,1,1
44,2015000011174,22,4,2,3,1,2,25,13,2,1,1
45,2015000012262,52,5,2,3,1,1,52,7,1,1,1
46,2015000013422,8,5,1,3,1,1,8,13,1,1,1
47,2015000014423,32,3,1,3,1,1,32,11,2,1,1
48,2015000014423,32,4,2,2,1,2,21,11,2,1,1
49,2015000015956,11,5,2,1,1,1,12,10,1,1,1
50,2015000016431,14,3,1,1,1,1,14,7,3,1,1
51,2015000016431,14,4,1,1,1,2,17,12,3,1,1
52,2015000016431,14,4,2,1,1,3,12,7,3,1,1
53,2015000017477,18,3,1,4,1,1,18,6,2,1,1
54,2015000017477,18,4,2,1,1,2,32,8,2,1,1
55,2015000017676,24,1,1,3,1,1,25,10,4,1,1
56,2015000017676,24,2,2,1,2,2,21,8,4,1,1
57,2015000017676,24,2,1,1,,3,25,2,4,1,1
58,2015000017676,24,2,1,1,,4,29,1,4,1,1
59,2015000017860,9,3,2,3,1,1,9,13,3,1,1
