V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000001721,5,1,1,2,2,1,5,13,7,1,1
2,2015000001721,5,2,2,1,2,2,5,13,7,1,1
3,2015000001721,5,2,1,1,1,3,6,4,7,1,1
4,2015000001721,5,2,1,1,2,4,5,4,7,1,1
5,2015000001721,5,2,1,1,2,5,6,4,7,1,1
6,2015000001721,5,2,1,1,,6,5,3,7,1,1
7,2015000001721,5,2,1,1,,7,4,3,7,1,1
8,2015000004028,16,3,2,3,2,1,15,5,2,1,1
9,2015000004028,16,4,2,3,1,2,14,5,2,1,1
10,2015000006497,14,3,1,2,2,1,13,18,3,1,1
11,2015000006497,14,4,2,3,1,2,11,8,3,1,1
12,2015000006497,14,4,1,2,1,3,12,9,3,1,1
13,2015000010234,2,5,1,1,2,1,2,15,1,1,1
14,2015000015375,1,3,1,1,2,1,2,16,2,1,1
15,2015000015375,1,4,2,2,2,2,2,16,2,1,1
16,2015000020698,17,1,2,3,1,1,17,8,3,1,1
17,2015000020698,17,2,2,4,1,2,17,8,3,1,1
18,2015000020698,17,2,1,1,,3,24,1,3,1,1
19,2015000020964,6,3,2,4,2,1,6,15,2,1,1
20,2015000020964,6,4,1,4,2,2,5,15,2,1,1
21,2015000029760,4,3,1,3,1,1,5,7,2,1,1
22,2015000029760,4,4,2,3,1,2,7,6,2,1,1
23,2015000030238,2,3,2,4,2,1,3,13,2,1,1
24,2015000030238,2,4,1,4,2,2,3,14,2,1,1
25,2015000030607,3,5,1,2,1,1,3,10,1,1,1
26,2015000032366,4,3,1,4,2,1,5,14,2,1,1
27,2015000032366,4,4,2,4,1,2,5,13,2,1,1
28,2015000032581,5,3,1,3,1,1,4,10,3,1,1
29,2015000032581,5,4,2,4,2,2,4,12,3,1,1
30,2015000032581,5,4,1,1,2,3,4,4,3,1,1
31,2015000034333,6,1,2,3,1,1,6,14,6,1,1
32,2015000034333,6,2,2,3,1,2,7,9,6,1,1
33,2015000034333,6,2,1,1,,3,9,3,6,1,1
34,2015000034333,6,2,1,1,,4,9,2,6,1,1
35,2015000034333,6,2,1,2,1,5,6,9,6,1,1
36,2015000034333,6,2,2,2,1,6,6,12,6,1,1
37,2015000034528,11,1,1,3,1,1,12,6,3,1,1
38,2015000034528,11,2,2,3,1,2,12,8,3,1,1
39,2015000034528,11,2,1,1,,3,17,1,3,1,1
40,2015000034745,3,3,1,2,1,1,3,11,2,1,1
41,2015000034745,3,4,2,3,1,2,2,10,2,1,1
42,2015000035067,3,1,2,3,1,1,3,12,2,1,1
43,2015000035067,3,2,1,1,2,2,3,4,2,1,1
44,2015000036873,4,3,1,2,1,1,4,8,2,1,1
45,2015000036873,4,4,2,3,1,2,6,9,2,1,1
46,2015000037450,12,1,1,2,1,1,13,11,3,1,1
47,2015000037450,12,2,2,2,2,2,13,11,3,1,1
48,2015000037450,12,2,1,1,2,3,17,4,3,1,1
49,2015000039070,57,5,1,2,1,1,57,9,1,1,1
50,2015000040240,9,5,1,1,1,1,10,12,1,1,1
51,2015000042766,17,5,1,1,1,1,17,8,1,1,1
52,2015000043093,38,3,2,1,1,1,39,12,2,1,1
53,2015000043093,38,4,1,1,1,2,36,11,2,1,1
54,2015000043549,5,1,1,2,1,1,4,9,3,1,1
55,2015000043549,5,2,2,1,1,2,4,8,3,1,1
56,2015000043549,5,2,1,1,,3,6,1,3,1,1
57,2015000049808,5,3,1,4,1,1,5,13,2,1,1
58,2015000049808,5,4,2,2,1,2,4,14,2,1,1
59,2015000050569,4,3,1,1,2,1,4,15,2,1,1
60,2015000050569,4,4,2,1,2,2,5,15,2,1,1
61,2015000051034,5,3,2,2,1,1,5,11,2,1,1
62,2015000051034,5,4,1,4,1,2,5,14,2,1,1
63,2015000056563,15,5,2,3,1,1,14,5,1,1,1
64,2015000057149,13,3,1,4,1,1,13,14,2,1,1
65,2015000057149,13,4,2,4,1,2,13,14,2,1,1
66,2015000058988,4,5,2,3,2,1,3,18,1,1,1
67,2015000059488,7,5,2,2,2,1,7,13,1,1,1
68,2015000059762,18,1,2,2,1,1,18,5,4,1,1
69,2015000059762,18,2,1,1,,2,14,1,4,1,1
70,2015000059762,18,2,1,2,1,3,13,5,4,1,1
71,2015000059762,18,2,1,2,1,4,10,6,4,1,1
72,2015000059922,6,5,2,3,2,1,6,13,1,1,1
73,2015000060679,20,1,1,1,1,1,19,9,4,1,1
74,2015000060679,20,2,2,3,2,2,28,8,4,1,1
75,2015000060679,20,2,2,1,,3,28,3,4,1,1
76,2015000060679,20,2,1,1,,4,22,2,4,1,1
77,2015000060986,29,1,2,2,1,1,29,7,3,1,1
78,2015000060986,29,2,1,2,1,2,31,8,3,1,1
79,2015000060986,29,2,2,1,,3,26,2,3,1,1
80,2015000062250,4,1,2,4,1,1,3,11,4,1,1
81,2015000062250,4,2,2,4,1,2,4,13,4,1,1
82,2015000062250,4,2,1,1,,3,4,3,4,1,1
83,2015000062250,4,2,1,1,,4,4,3,4,1,1
84,2015000063032,22,1,2,4,1,1,22,11,4,1,1
85,2015000063032,22,2,2,4,1,2,26,10,4,1,1
86,2015000063032,22,2,2,1,2,3,10,4,4,1,1
87,2015000063032,22,2,2,1,,4,9,3,4,1,1
88,2015000064694,197,1,2,1,2,1,196,7,5,1,1
89,2015000064694,197,2,1,1,,2,27,4,5,1,1
90,2015000064694,197,2,1,1,,3,36,3,5,1,1
91,2015000064694,197,2,1,1,,4,37,2,5,1,1
92,2015000064694,197,2,2,1,,5,35,1,5,1,1
93,2015000066302,5,3,1,2,1,1,5,13,2,1,1
94,2015000066302,5,4,2,3,1,2,4,13,2,1,1
95,2015000066456,12,1,2,1,1,1,12,10,4,1,1
96,2015000066456,12,2,2,1,1,2,18,5,4,1,1
97,2015000066456,12,2,2,1,2,3,18,5,4,1,1
98,2015000066456,12,2,1,1,,4,14,2,4,1,1
99,2015000066856,3,3,1,1,1,1,3,14,2,1,1
100,2015000066856,3,4,2,2,2,2,2,14,2,1,1
101,2015000068715,22,5,2,4,1,1,21,12,1,1,1
102,2015000071580,16,1,1,2,1,1,15,7,2,1,1
103,2015000071580,16,2,1,1,,2,47,2,2,1,1
104,2015000072222,5,1,2,3,1,1,5,10,2,1,1
105,2015000072222,5,2,1,1,2,2,5,4,2,1,1
106,2015000072821,5,3,1,2,2,1,4,15,2,1,1
107,2015000072821,5,4,1,1,1,2,4,6,2,1,1
108,2015000073989,7,5,2,3,1,1,7,12,1,1,1
109,2015000075597,5,3,1,2,2,1,5,16,2,1,1
110,2015000075597,5,4,2,1,2,2,3,16,2,1,1
111,2015000078216,13,3,1,1,1,1,13,12,3,1,1
112,2015000078216,13,4,2,1,1,2,10,11,3,1,1
113,2015000078216,13,4,2,3,2,3,8,18,3,1,1
114,2015000078564,19,3,2,2,1,1,18,15,2,1,1
115,2015000078564,19,4,1,4,1,2,18,15,2,1,1
116,2015000081564,11,3,1,2,1,1,12,11,3,1,1
117,2015000081564,11,4,2,1,1,2,12,11,3,1,1
118,2015000081564,11,4,2,3,1,3,16,6,3,1,1
119,2015000082396,4,5,2,1,2,1,4,18,1,1,1
120,2015000088178,6,5,1,1,1,1,5,7,1,1,1
121,2015000090317,5,5,1,4,2,1,5,16,1,1,1
122,2015000093432,9,3,1,1,1,1,9,12,3,1,1
123,2015000093432,9,4,2,2,1,2,10,11,3,1,1
124,2015000093432,9,4,1,1,2,3,8,6,3,1,1
125,2015000094827,20,1,2,1,1,1,20,7,4,1,1
126,2015000094827,20,2,1,1,2,2,24,4,4,1,1
127,2015000094827,20,2,2,1,,3,35,3,4,1,1
128,2015000094827,20,2,2,1,,4,36,2,4,1,1
129,2015000096449,5,1,2,3,1,1,5,10,3,1,1
130,2015000096449,5,2,1,3,1,2,5,10,3,1,1
131,2015000096449,5,2,1,1,2,3,5,4,3,1,1
132,2015000097643,5,1,2,4,1,1,4,7,3,1,1
133,2015000097643,5,2,1,3,1,2,5,9,3,1,1
134,2015000097643,5,2,2,1,,3,2,3,3,1,1
135,2015000100760,4,3,1,4,1,1,3,14,2,1,1
136,2015000100760,4,4,2,3,2,2,4,15,2,1,1
137,2015000100883,5,3,1,1,1,1,5,11,2,1,1
138,2015000100883,5,4,1,1,1,2,7,5,2,1,1
139,2015000100937,6,3,1,1,1,1,6,12,2,1,1
140,2015000100937,6,4,2,3,1,2,5,11,2,1,1
141,2015000101935,17,3,1,3,1,1,16,13,2,1,1
142,2015000101935,17,4,2,2,2,2,15,14,2,1,1
143,2015000104048,2,1,2,3,2,1,2,8,5,1,1
144,2015000104048,2,2,1,3,1,2,2,10,5,1,1
145,2015000104048,2,2,2,1,,3,2,2,5,1,1
146,2015000104048,2,2,1,1,,4,3,2,5,1,1
147,2015000104048,2,2,2,1,,5,3,1,5,1,1
148,2015000105539,22,3,2,2,2,1,23,14,2,1,1
149,2015000105539,22,4,1,1,2,2,22,14,2,1,1
150,2015000106687,4,3,1,4,1,1,4,14,2,1,1
151,2015000106687,4,4,2,4,1,2,4,13,2,1,1
152,2015000109579,27,5,1,2,1,1,26,12,1,1,1
153,2015000111566,4,5,2,2,2,1,4,18,1,1,1
154,2015000115918,11,5,2,3,2,1,11,16,1,1,1
155,2015000115948,10,1,1,2,1,1,9,9,10,1,1
156,2015000115948,10,2,2,1,,2,7,4,10,1,1
157,2015000115948,10,2,1,1,,3,12,3,10,1,1
158,2015000115948,10,2,2,1,,4,9,3,10,1,1
159,2015000115948,10,2,1,1,,5,11,2,10,1,1
160,2015000115948,10,2,2,1,,6,12,1,10,1,1
161,2015000115948,10,2,2,1,2,7,11,9,10,1,1
162,2015000115948,10,2,1,1,,8,6,4,10,1,1
163,2015000115948,10,2,1,1,,9,9,3,10,1,1
164,2015000115948,10,2,2,1,,10,8,3,10,1,1
165,2015000117436,13,3,2,1,1,1,12,11,4,1,1
166,2015000117436,13,4,1,2,2,2,12,11,4,1,1
167,2015000117436,13,4,1,2,1,3,11,6,4,1,1
168,2015000117436,13,4,2,2,1,4,19,5,4,1,1
169,2015000117817,4,3,1,4,1,1,4,16,2,1,1
170,2015000117817,4,4,2,3,2,2,2,16,2,1,1
171,2015000120051,1,5,2,1,2,1,2,17,1,1,1
172,2015000123766,7,5,1,3,2,1,6,13,1,1,1
173,2015000123879,6,3,1,1,1,1,5,11,2,1,1
174,2015000123879,6,4,2,3,1,2,5,11,2,1,1
175,2015000126848,6,5,2,4,1,1,6,10,1,1,1
176,2015000127662,4,1,2,2,1,1,4,7,3,1,1
177,2015000127662,4,2,1,3,1,2,3,7,3,1,1
178,2015000127662,4,2,1,1,,3,5,1,3,1,1
179,2015000128345,17,5,1,1,2,1,17,15,1,1,1
180,2015000128442,14,5,1,3,1,1,14,9,1,1,1
181,2015000128731,11,3,2,1,2,1,11,12,3,1,1
182,2015000128731,11,4,1,1,1,2,11,6,3,1,1
183,2015000128731,11,4,1,1,2,3,11,6,3,1,1
184,2015000131903,5,3,1,2,1,1,5,13,2,1,1
185,2015000131903,5,4,2,2,1,2,5,14,2,1,1
186,2015000132183,5,1,1,1,1,1,5,11,8,1,1
187,2015000132183,5,2,2,4,1,2,4,11,8,1,1
188,2015000132183,5,2,2,3,2,3,6,6,8,1,1
189,2015000132183,5,2,1,1,,4,6,2,8,1,1
190,2015000132183,5,2,1,1,,5,8,1,8,1,1
191,2015000132183,5,2,2,1,,6,6,1,8,1,1
192,2015000132183,5,2,2,3,2,7,3,17,8,1,1
193,2015000132183,5,2,1,1,1,8,4,7,8,1,1
194,2015000133027,13,5,2,3,1,1,13,14,1,1,1
195,2015000134302,6,3,1,2,1,1,5,12,2,1,1
196,2015000134302,6,4,2,3,2,2,5,12,2,1,1
197,2015000136593,5,3,2,2,1,1,5,12,4,1,1
198,2015000136593,5,4,1,2,1,2,5,11,4,1,1
199,2015000136593,5,4,2,3,1,3,7,5,4,1,1
200,2015000136593,5,4,1,1,1,4,4,4,4,1,1
201,2015000136804,2,3,1,4,2,1,2,14,2,1,1
202,2015000136804,2,4,2,4,2,2,2,14,2,1,1
203,2015000137282,4,3,1,4,1,1,4,14,2,1,1
204,2015000137282,4,4,2,2,2,2,5,14,2,1,1
205,2015000137726,4,3,1,2,1,1,4,8,2,1,1
206,2015000137726,4,4,2,3,1,2,4,7,2,1,1
207,2015000142467,12,3,2,2,1,1,12,12,2,1,1
208,2015000142467,12,4,1,2,1,2,15,12,2,1,1
209,2015000142864,22,1,2,4,1,1,21,11,5,1,1
210,2015000142864,22,2,1,4,1,2,21,11,5,1,1
211,2015000142864,22,2,1,1,2,3,20,4,5,1,1
212,2015000142864,22,2,2,1,,4,21,3,5,1,1
213,2015000142864,22,2,2,1,,5,21,2,5,1,1
214,2015000145531,4,5,2,2,2,1,4,15,1,1,1
215,2015000149464,4,1,2,2,1,1,3,6,3,1,1
216,2015000149464,4,2,1,2,1,2,3,7,3,1,1
217,2015000149464,4,2,2,1,,3,3,1,3,1,1
218,2015000149694,16,5,1,4,2,1,16,16,1,1,1
219,2015000151960,6,5,1,2,1,1,5,12,1,1,1
220,2015000152146,12,3,1,3,1,1,13,13,2,1,1
221,2015000152146,12,4,2,3,1,2,10,13,2,1,1
222,2015000152316,3,1,2,3,1,1,4,10,3,1,1
223,2015000152316,3,2,1,1,2,2,4,4,3,1,1
224,2015000152316,3,2,1,1,,3,4,3,3,1,1
225,2015000154534,3,3,2,2,1,1,3,10,3,1,1
226,2015000154534,3,4,1,1,2,2,10,10,3,1,1
227,2015000154534,3,4,1,1,2,3,6,12,3,1,1
228,2015000154825,14,3,1,2,2,1,14,16,2,1,1
229,2015000154825,14,4,2,2,2,2,12,14,2,1,1
230,2015000160363,16,3,1,2,1,1,17,12,2,1,1
231,2015000160363,16,4,2,2,2,2,13,12,2,1,1
232,2015000162623,5,5,1,1,2,1,5,14,1,1,1
233,2015000163073,4,5,2,2,1,1,5,13,1,1,1
234,2015000164578,10,3,2,2,2,1,10,16,2,1,1
235,2015000164578,10,4,1,1,2,2,16,17,2,1,1
236,2015000164738,4,3,2,1,2,1,4,14,2,1,1
237,2015000164738,4,4,1,2,1,2,3,7,2,1,1
238,2015000167049,16,3,2,4,1,1,16,9,2,1,1
239,2015000167049,16,4,1,1,1,2,17,9,2,1,1
240,2015000169805,6,3,1,4,2,1,5,17,2,1,1
241,2015000169805,6,4,2,4,2,2,4,16,2,1,1
242,2015000170107,14,1,1,4,1,1,14,11,4,1,1
243,2015000170107,14,2,2,3,1,2,10,10,4,1,1
244,2015000170107,14,2,1,1,2,3,13,4,4,1,1
245,2015000170107,14,2,1,1,,4,11,3,4,1,1
