V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000003421,13,3,1,4,2,1,13,15,2,1,1
2,2015000003421,13,4,2,3,2,2,12,15,2,1,1
3,2015000003435,12,5,2,3,1,1,11,13,1,1,1
4,2015000008311,16,5,2,3,1,1,16,13,1,1,1
5,2015000009786,10,1,2,2,1,1,10,11,5,1,1
6,2015000009786,10,2,1,3,1,2,9,11,5,1,1
7,2015000009786,10,2,2,1,1,3,23,5,5,1,1
8,2015000009786,10,2,1,1,1,4,12,4,5,1,1
9,2015000009786,10,2,1,1,2,5,11,4,5,1,1
10,2015000016987,7,3,2,3,2,1,7,17,2,1,1
11,2015000016987,7,4,2,3,1,2,6,9,2,1,1
12,2015000018727,18,5,1,3,2,1,18,17,1,1,1
13,2015000019094,31,1,2,1,1,1,32,7,4,1,1
14,2015000019094,31,2,2,1,,2,23,1,4,1,1
15,2015000019094,31,2,2,1,,3,24,1,4,1,1
16,2015000019094,31,2,1,1,1,4,24,8,4,1,1
17,2015000025314,9,3,2,4,2,1,9,18,2,1,1
18,2015000025314,9,4,2,1,2,2,8,12,2,1,1
19,2015000026336,2,5,2,1,1,1,1,13,1,1,1
20,2015000031949,13,5,2,2,1,1,13,12,1,1,1
21,2015000033262,25,3,1,3,2,1,25,15,2,1,1
22,2015000033262,25,4,2,3,1,2,29,14,2,1,1
23,2015000034214,24,1,2,1,1,1,24,10,4,1,1
24,2015000034214,24,2,1,1,1,2,22,10,4,1,1
25,2015000034214,24,2,2,2,2,3,88,5,4,1,1
26,2015000034214,24,2,1,1,,4,13,3,4,1,1
27,2015000035294,25,3,1,2,2,1,25,15,2,1,1
28,2015000035294,25,4,1,1,2,2,23,16,2,1,1
29,2015000042141,11,5,1,4,1,1,11,15,1,1,1
30,2015000045528,12,3,1,1,1,1,12,11,2,1,1
31,2015000045528,12,4,1,1,1,2,9,12,2,1,1
32,2015000046022,8,3,1,2,2,1,7,15,2,1,1
33,2015000046022,8,4,2,3,2,2,7,15,2,1,1
34,2015000046664,17,5,2,3,1,1,17,6,1,1,1
35,2015000046714,12,5,1,4,2,1,12,12,1,1,1
36,2015000053234,25,1,2,2,1,1,26,9,7,1,1
37,2015000053234,25,2,1,1,1,2,21,11,7,1,1
38,2015000053234,25,2,2,1,,3,22,2,7,1,1
39,2015000053234,25,2,1,1,,4,26,2,7,1,1
40,2015000053234,25,2,2,1,,5,24,1,7,1,1
41,2015000053234,25,2,1,4,1,6,12,16,7,1,1
42,2015000053234,25,2,2,3,2,7,14,15,7,1,1
43,2015000055110,12,3,1,1,1,1,12,16,2,1,1
44,2015000055110,12,4,2,1,2,2,12,16,2,1,1
45,2015000059124,81,3,1,2,1,1,81,8,2,1,1
46,2015000059124,81,4,2,2,1,2,37,12,2,1,1
47,2015000061290,7,5,1,1,2,1,6,14,1,1,1
48,2015000062214,9,3,1,3,2,1,9,17,2,1,1
49,2015000062214,9,4,2,3,2,2,9,17,2,1,1
50,2015000063764,1,3,2,3,2,1,2,12,2,1,1
51,2015000063764,1,4,1,4,2,2,3,16,2,1,1
52,2015000064157,15,3,1,3,2,1,15,16,2,1,1
53,2015000064157,15,4,2,2,2,2,15,16,2,1,1
54,2015000066577,11,3,2,4,1,1,11,13,2,1,1
55,2015000066577,11,4,1,2,1,2,17,13,2,1,1
56,2015000070326,21,5,1,3,1,1,21,10,1,1,1
57,2015000071882,12,5,1,1,1,1,13,15,1,1,1
58,2015000076337,5,1,2,4,1,1,5,11,3,1,1
59,2015000076337,5,2,1,3,1,2,4,10,3,1,1
60,2015000076337,5,2,1,1,,3,3,3,3,1,1
61,2015000079394,12,5,2,3,2,1,13,12,1,1,1
62,2015000080011,14,5,2,2,2,1,13,12,1,1,1
63,2015000095362,8,3,2,2,1,1,8,15,2,1,1
64,2015000095362,8,4,1,4,1,2,7,14,2,1,1
65,2015000095706,14,3,2,4,2,1,14,14,2,1,1
66,2015000095706,14,4,1,4,2,2,21,16,2,1,1
67,2015000101630,10,3,1,4,2,1,10,16,2,1,1
68,2015000101630,10,4,2,4,2,2,11,16,2,1,1
69,2015000103430,2,5,2,4,2,1,2,12,1,1,1
70,2015000105409,18,5,2,1,2,1,18,18,1,1,1
71,2015000105755,14,1,1,4,1,1,14,7,3,1,1
72,2015000105755,14,2,2,4,1,2,17,9,3,1,1
73,2015000105755,14,2,2,1,,3,15,1,3,1,1
74,2015000109474,6,3,1,4,2,1,6,14,2,1,1
75,2015000109474,6,4,2,4,2,2,6,13,2,1,1
76,2015000109996,13,3,2,3,1,1,13,13,2,1,1
77,2015000109996,13,4,2,2,1,2,13,13,2,1,1
78,2015000117060,11,3,2,3,2,1,11,17,2,1,1
79,2015000117060,11,4,1,3,2,2,11,17,2,1,1
80,2015000117213,10,5,1,3,1,1,10,7,1,1,1
81,2015000120254,35,5,1,1,2,1,36,18,1,1,1
82,2015000121581,33,3,2,3,2,1,33,15,2,1,1
83,2015000121581,33,4,1,3,2,2,28,15,2,1,1
84,2015000123885,30,3,2,2,1,1,30,9,3,1,1
85,2015000123885,30,4,1,2,2,2,17,11,3,1,1
86,2015000123885,30,4,1,3,2,3,16,10,3,1,1
87,2015000124188,14,5,2,3,1,1,14,12,1,1,1
88,2015000124342,14,3,1,4,1,1,14,13,3,1,1
89,2015000124342,14,4,2,4,1,2,14,13,3,1,1
90,2015000124342,14,4,2,3,1,3,14,6,3,1,1
91,2015000125261,6,3,2,3,1,1,6,7,3,1,1
92,2015000125261,6,4,1,1,1,2,19,6,3,1,1
93,2015000125261,6,4,1,1,1,3,5,9,3,1,1
94,2015000127606,11,5,2,3,2,1,11,18,1,1,1
95,2015000129781,1,1,2,3,1,1,2,12,3,1,1
96,2015000129781,1,2,1,2,1,2,2,12,3,1,1
97,2015000129781,1,2,2,1,2,3,2,4,3,1,1
98,2015000133475,6,5,1,3,1,1,7,14,1,1,1
99,2015000136170,5,3,2,1,1,1,6,14,2,1,1
100,2015000136170,5,4,1,1,1,2,7,12,2,1,1
101,2015000139023,39,5,2,2,1,1,39,12,1,1,1
102,2015000144027,7,5,2,2,1,1,8,14,1,1,1
103,2015000146267,10,5,1,2,2,1,10,18,1,1,1
104,2015000146294,22,1,2,2,1,1,22,13,5,1,1
105,2015000146294,22,2,1,1,1,2,22,13,5,1,1
106,2015000146294,22,2,2,2,1,3,22,6,5,1,1
107,2015000146294,22,2,2,2,1,4,22,6,5,1,1
108,2015000146294,22,2,1,1,,5,16,1,5,1,1
109,2015000147215,20,3,2,1,2,1,20,15,3,1,1
110,2015000147215,20,4,1,1,1,2,13,10,3,1,1
111,2015000147215,20,4,1,1,1,3,14,15,3,1,1
112,2015000151005,8,3,2,1,1,1,8,13,2,1,1
113,2015000151005,8,4,1,1,1,2,9,14,2,1,1
114,2015000151355,13,3,2,4,2,1,13,15,2,1,1
115,2015000151355,13,4,2,4,2,2,13,14,2,1,1
