V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000000478,21,3,2,4,1,1,21,9,2,1,1
2,2015000000478,21,4,1,2,1,2,19,10,2,1,1
3,2015000001036,64,3,2,1,2,1,63,17,2,1,1
4,2015000001036,64,4,1,4,1,2,73,7,2,1,1
5,2015000003802,22,5,2,3,1,1,22,7,1,1,1
6,2015000005906,12,3,1,3,2,1,12,14,2,1,1
7,2015000005906,12,4,2,3,2,2,13,14,2,1,1
8,2015000006853,34,1,1,1,1,1,35,10,2,1,1
9,2015000006853,34,2,1,1,1,2,38,4,2,1,1
10,2015000006960,20,5,1,1,2,1,20,18,1,1,1
11,2015000007154,11,3,1,3,1,1,11,10,2,1,1
12,2015000007154,11,4,2,1,2,2,17,18,2,1,1
13,2015000007290,12,1,2,2,2,1,11,12,3,1,1
14,2015000007290,12,2,1,1,2,2,14,13,3,1,1
15,2015000007290,12,2,1,1,,3,15,3,3,1,1
16,2015000008379,14,1,1,4,1,1,15,7,3,1,1
17,2015000008379,14,2,2,3,1,2,14,6,3,1,1
18,2015000008379,14,2,1,1,,3,16,1,3,1,1
19,2015000008425,22,3,2,1,1,1,23,12,2,1,1
20,2015000008425,22,4,2,1,1,2,30,13,2,1,1
21,2015000009327,30,3,2,2,1,1,30,6,2,1,1
22,2015000009327,30,4,1,2,1,2,37,6,2,1,1
23,2015000009518,50,1,1,1,1,1,50,9,6,1,1
24,2015000009518,50,2,2,2,1,2,35,10,6,1,1
25,2015000009518,50,2,1,1,,3,41,2,6,1,1
26,2015000009518,50,2,1,1,,4,41,2,6,1,1
27,2015000009518,50,2,1,1,2,5,35,4,6,1,1
28,2015000009518,50,2,2,2,2,6,43,15,6,1,1
29,2015000009643,14,3,2,3,1,1,14,7,2,1,1
30,2015000009643,14,4,1,3,1,2,17,8,2,1,1
31,2015000011494,31,5,1,4,1,1,31,10,1,1,1
32,2015000012203,14,5,1,2,1,1,13,14,1,1,1
33,2015000012351,13,5,1,3,1,1,13,7,1,1,1
34,2015000013494,13,3,1,1,2,1,12,17,2,1,1
35,2015000013494,13,4,2,1,2,2,14,17,2,1,1
36,2015000013739,21,3,1,4,1,1,22,14,3,1,1
37,2015000013739,21,4,2,3,1,2,23,14,3,1,1
38,2015000013739,21,4,2,2,1,3,35,5,3,1,1
39,2015000014314,14,3,1,3,1,1,14,5,2,1,1
40,2015000014314,14,4,2,3,1,2,14,6,2,1,1
41,2015000014761,13,3,2,1,2,1,13,17,2,1,1
42,2015000014761,13,4,2,2,1,2,16,12,2,1,1
43,2015000016054,33,3,2,4,1,1,33,14,2,1,1
44,2015000016054,33,4,1,2,1,2,34,14,2,1,1
45,2015000017987,11,1,2,1,2,1,11,12,2,1,1
46,2015000017987,11,2,1,1,,2,14,3,2,1,1
47,2015000018238,22,5,1,2,1,1,23,11,1,1,1
48,2015000018559,21,3,1,4,1,1,21,12,2,1,1
49,2015000018559,21,4,2,4,1,2,20,13,2,1,1
50,2015000020067,36,1,2,1,1,1,36,8,4,1,1
51,2015000020067,36,2,1,1,1,2,26,4,4,1,1
52,2015000020067,36,2,2,1,,3,29,3,4,1,1
53,2015000020067,36,2,1,1,,4,32,2,4,1,1
54,2015000021335,6,1,2,1,1,1,6,10,4,1,1
55,2015000021335,6,2,2,2,1,2,12,5,4,1,1
56,2015000021335,6,2,2,1,,3,7,3,4,1,1
57,2015000021335,6,2,1,1,2,4,7,12,4,1,1
58,2015000021821,24,1,2,2,1,1,24,9,3,1,1
59,2015000021821,24,2,1,1,2,2,20,4,3,1,1
60,2015000021821,24,2,1,1,,3,25,2,3,1,1
61,2015000021941,14,5,2,1,2,1,15,18,1,1,1
62,2015000021969,20,3,2,2,1,1,21,13,2,1,1
63,2015000021969,20,4,1,2,1,2,22,13,2,1,1
64,2015000022297,32,3,1,3,1,1,32,6,2,1,1
65,2015000022297,32,4,2,3,1,2,38,5,2,1,1
66,2015000022784,21,3,1,2,1,1,22,6,2,1,1
67,2015000022784,21,4,2,2,1,2,17,7,2,1,1
68,2015000023784,11,1,1,4,1,1,10,7,3,1,1
69,2015000023784,11,2,2,3,1,2,12,7,3,1,1
70,2015000023784,11,2,1,1,,3,13,1,3,1,1
71,2015000023989,14,5,1,3,1,1,13,14,1,1,1
72,2015000025160,10,5,1,4,1,1,10,13,1,1,1
73,2015000026703,35,3,1,1,1,1,35,12,2,1,1
74,2015000026703,35,4,2,3,1,2,30,10,2,1,1
75,2015000028003,30,5,1,3,1,1,30,7,1,1,1
76,2015000028050,18,1,2,1,1,1,18,11,4,1,1
77,2015000028050,18,2,2,2,1,2,36,6,4,1,1
78,2015000028050,18,2,1,1,,3,32,1,4,1,1
79,2015000028050,18,2,1,1,1,4,32,6,4,1,1
80,2015000029245,11,5,1,4,2,1,11,14,1,1,1
81,2015000029941,13,3,1,1,2,1,12,18,2,1,1
82,2015000029941,13,4,2,4,2,2,13,16,2,1,1
83,2015000031417,10,5,2,4,2,1,10,15,1,1,1
84,2015000031486,10,3,2,2,1,1,10,12,3,1,1
85,2015000031486,10,4,1,4,1,2,12,12,3,1,1
86,2015000031486,10,4,1,1,2,3,13,5,3,1,1
87,2015000033009,20,3,2,4,1,1,21,12,3,1,1
88,2015000033009,20,4,1,4,1,2,22,13,3,1,1
89,2015000033009,20,4,1,2,1,3,27,6,3,1,1
90,2015000034161,21,3,2,2,2,1,22,14,2,1,1
91,2015000034161,21,4,1,3,2,2,21,13,2,1,1
92,2015000034329,11,5,2,1,2,1,11,14,1,1,1
93,2015000034550,14,3,2,1,2,1,14,16,2,1,1
94,2015000034550,14,4,2,1,1,2,16,10,2,1,1
95,2015000034592,11,3,2,2,2,1,12,16,2,1,1
96,2015000034592,11,4,2,2,2,2,14,10,2,1,1
97,2015000034935,8,1,2,3,2,1,8,11,3,1,1
98,2015000034935,8,2,1,4,1,2,7,11,3,1,1
99,2015000034935,8,2,2,1,2,3,7,4,3,1,1
100,2015000035108,39,3,2,2,1,1,39,8,2,1,1
101,2015000035108,39,4,1,2,1,2,50,9,2,1,1
102,2015000035325,20,3,2,4,1,1,21,6,2,1,1
103,2015000035325,20,4,1,2,1,2,21,6,2,1,1
104,2015000035444,20,5,2,2,2,1,20,15,1,1,1
105,2015000035464,19,3,1,2,1,1,20,16,2,1,1
106,2015000035464,19,4,2,2,2,2,20,15,2,1,1
107,2015000035987,18,3,1,4,2,1,18,14,2,1,1
108,2015000035987,18,4,2,2,1,2,18,13,2,1,1
109,2015000036372,12,3,1,3,1,1,12,14,2,1,1
110,2015000036372,12,4,2,1,1,2,12,13,2,1,1
111,2015000036476,13,1,1,3,1,1,13,10,4,1,1
112,2015000036476,13,2,2,3,2,2,12,10,4,1,1
113,2015000036476,13,2,1,1,,3,14,3,4,1,1
114,2015000036476,13,2,1,1,,4,15,3,4,1,1
115,2015000037814,35,5,2,1,2,1,35,17,1,1,1
116,2015000038071,11,3,2,3,2,1,11,12,2,1,1
117,2015000038071,11,4,1,4,2,2,13,13,2,1,1
118,2015000039880,11,3,1,2,2,1,11,17,2,1,1
119,2015000039880,11,4,2,1,2,2,12,16,2,1,1
120,2015000040062,21,3,1,4,1,1,21,13,2,1,1
121,2015000040062,21,4,2,1,2,2,17,12,2,1,1
122,2015000040371,14,3,1,2,1,1,13,7,2,1,1
123,2015000040371,14,4,2,3,1,2,16,6,2,1,1
124,2015000040660,21,5,2,4,1,1,21,15,1,1,1
125,2015000040912,15,1,2,3,1,1,15,9,4,1,1
126,2015000040912,15,2,1,3,1,2,19,9,4,1,1
127,2015000040912,15,2,2,1,,3,18,2,4,1,1
128,2015000040912,15,2,1,1,,4,15,1,4,1,1
129,2015000041076,26,3,2,2,1,1,25,11,2,1,1
130,2015000041076,26,4,2,2,1,2,26,9,2,1,1
131,2015000042511,12,1,1,4,1,1,12,12,4,1,1
132,2015000042511,12,2,2,3,1,2,13,11,4,1,1
133,2015000042511,12,2,2,1,2,3,14,4,4,1,1
134,2015000042511,12,2,2,1,,4,12,4,4,1,1
135,2015000043535,11,3,1,1,1,1,10,10,3,1,1
136,2015000043535,11,4,1,2,1,2,13,5,3,1,1
137,2015000043535,11,4,2,1,2,3,11,10,3,1,1
138,2015000044110,11,1,1,4,1,1,11,10,5,1,1
139,2015000044110,11,2,2,2,1,2,11,10,5,1,1
140,2015000044110,11,2,1,1,2,3,12,4,5,1,1
141,2015000044110,11,2,1,1,,4,13,3,5,1,1
142,2015000044110,11,2,1,1,,5,14,3,5,1,1
143,2015000045623,21,3,1,2,1,1,21,14,2,1,1
144,2015000045623,21,4,2,2,1,2,21,12,2,1,1
145,2015000046010,22,5,2,3,1,1,22,14,1,1,1
146,2015000046494,12,3,2,4,1,1,12,14,2,1,1
147,2015000046494,12,4,1,4,1,2,11,14,2,1,1
148,2015000048490,23,3,1,2,1,1,23,14,2,1,1
149,2015000048490,23,4,2,2,2,2,24,12,2,1,1
150,2015000049196,30,1,1,2,1,1,30,9,4,1,1
151,2015000049196,30,2,2,1,1,2,24,9,4,1,1
152,2015000049196,30,2,2,1,,3,25,2,4,1,1
153,2015000049196,30,2,1,1,,4,26,2,4,1,1
154,2015000051382,12,3,1,1,2,1,13,15,2,1,1
155,2015000051382,12,4,2,2,1,2,13,14,2,1,1
156,2015000051400,12,5,2,3,1,1,13,14,1,1,1
157,2015000053130,17,5,1,2,1,1,17,9,1,1,1
158,2015000053259,38,3,1,1,2,1,38,16,2,1,1
159,2015000053259,38,4,2,1,2,2,40,16,2,1,1
160,2015000054049,40,5,1,1,1,1,39,12,1,1,1
161,2015000054518,13,3,2,4,1,1,13,11,2,1,1
162,2015000054518,13,4,1,2,2,2,13,11,2,1,1
163,2015000054839,10,3,2,2,1,1,10,14,3,1,1
164,2015000054839,10,4,1,1,2,2,10,14,3,1,1
165,2015000054839,10,4,1,3,1,3,12,10,3,1,1
166,2015000054918,12,3,1,1,2,1,12,15,3,1,1
167,2015000054918,12,4,2,1,2,2,12,15,3,1,1
168,2015000054918,12,4,2,2,2,3,18,9,3,1,1
169,2015000056565,35,1,2,1,1,1,35,6,4,1,1
170,2015000056565,35,2,2,1,,2,35,2,4,1,1
171,2015000056565,35,2,2,1,,3,40,1,4,1,1
172,2015000056565,35,2,2,1,2,4,38,13,4,1,1
173,2015000057887,16,3,1,2,1,1,16,11,2,1,1
174,2015000057887,16,4,2,2,1,2,12,10,2,1,1
175,2015000059032,9,1,2,2,1,1,9,11,6,1,1
176,2015000059032,9,2,1,3,1,2,12,13,6,1,1
177,2015000059032,9,2,1,1,2,3,15,6,6,1,1
178,2015000059032,9,2,2,1,2,4,16,4,6,1,1
179,2015000059032,9,2,2,1,1,5,21,5,6,1,1
180,2015000059032,9,2,2,1,,6,15,1,6,1,1
181,2015000059190,20,3,1,3,1,1,20,14,2,1,1
182,2015000059190,20,4,2,2,2,2,20,13,2,1,1
183,2015000059317,11,5,1,1,1,1,11,13,1,1,1
184,2015000060786,20,1,2,1,1,1,20,8,5,1,1
185,2015000060786,20,2,1,1,1,2,21,11,5,1,1
186,2015000060786,20,2,1,2,2,3,12,5,5,1,1
187,2015000060786,20,2,2,1,,4,20,2,5,1,1
188,2015000060786,20,2,2,1,2,5,27,4,5,1,1
189,2015000061030,36,5,1,1,1,1,36,12,1,1,1
190,2015000061377,21,5,1,3,1,1,22,6,1,1,1
191,2015000061728,13,5,2,3,2,1,13,16,1,1,1
192,2015000062488,19,3,2,4,1,1,19,12,2,1,1
193,2015000062488,19,4,2,4,2,2,27,7,2,1,1
194,2015000066070,20,5,2,4,1,1,20,12,1,1,1
195,2015000067396,20,1,2,4,1,1,20,7,4,1,1
196,2015000067396,20,2,1,3,1,2,19,8,4,1,1
197,2015000067396,20,2,1,1,,3,30,2,4,1,1
198,2015000067396,20,2,1,1,,4,16,1,4,1,1
199,2015000068292,13,1,1,3,1,1,13,10,3,1,1
200,2015000068292,13,2,2,3,1,2,13,10,3,1,1
201,2015000068292,13,2,1,1,,3,13,4,3,1,1
202,2015000068412,12,3,1,4,1,1,11,18,2,1,1
203,2015000068412,12,4,2,2,1,2,11,12,2,1,1
204,2015000070726,22,3,2,1,2,1,22,14,2,1,1
205,2015000070726,22,4,1,1,2,2,21,14,2,1,1
206,2015000071110,6,3,1,2,1,1,6,11,2,1,1
207,2015000071110,6,4,2,2,1,2,7,11,2,1,1
208,2015000071200,44,1,2,3,2,1,45,11,4,1,1
209,2015000071200,44,2,1,2,1,2,49,5,4,1,1
210,2015000071200,44,2,1,1,2,3,40,4,4,1,1
211,2015000071200,44,2,2,2,2,4,53,11,4,1,1
212,2015000071791,13,3,2,2,1,1,13,11,3,1,1
213,2015000071791,13,4,1,1,1,2,13,11,3,1,1
214,2015000071791,13,4,1,1,1,3,15,5,3,1,1
215,2015000072378,14,1,2,2,1,1,13,7,4,1,1
216,2015000072378,14,2,1,2,1,2,12,10,4,1,1
