V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000003163,11,1,2,4,1,1,12,9,4,1,1
2,2015000003163,11,2,1,4,1,2,14,9,4,1,1
3,2015000003163,11,2,1,1,,3,12,2,4,1,1
4,2015000003163,11,2,2,1,,4,12,1,4,1,1
5,2015000005355,13,5,1,1,2,1,12,14,1,1,1
6,2015000006554,14,1,1,2,1,1,14,9,3,1,1
7,2015000006554,14,2,2,1,1,2,15,11,3,1,1
8,2015000006554,14,2,1,1,,3,13,3,3,1,1
9,2015000006915,37,5,1,1,1,1,37,6,1,1,1
10,2015000008051,18,1,1,4,1,1,18,11,3,1,1
11,2015000008051,18,2,2,4,1,2,21,11,3,1,1
12,2015000008051,18,2,1,1,2,3,12,4,3,1,1
13,2015000009824,28,5,1,1,1,1,27,12,1,1,1
14,2015000013376,21,1,1,4,1,1,21,9,4,1,1
15,2015000013376,21,2,2,4,1,2,20,9,4,1,1
16,2015000013376,21,2,2,1,,3,20,4,4,1,1
17,2015000013376,21,2,1,1,,4,19,2,4,1,1
18,2015000014352,15,1,1,4,1,1,14,10,4,1,1
19,2015000014352,15,2,2,3,1,2,13,10,4,1,1
20,2015000014352,15,2,2,1,,3,17,3,4,1,1
21,2015000014352,15,2,2,1,,4,17,2,4,1,1
22,2015000016908,45,1,1,1,1,1,46,7,4,1,1
23,2015000016908,45,2,2,1,2,2,48,7,4,1,1
24,2015000016908,45,2,1,1,,3,51,2,4,1,1
25,2015000016908,45,2,2,1,,4,45,1,4,1,1
26,2015000018229,14,1,2,3,1,1,14,8,5,1,1
27,2015000018229,14,2,1,4,1,2,14,8,5,1,1
28,2015000018229,14,2,2,1,,3,14,2,5,1,1
29,2015000018229,14,2,1,1,,4,15,1,5,1,1
30,2015000018229,14,2,2,1,,5,15,1,5,1,1
31,2015000019044,18,3,1,4,1,1,19,14,3,1,1
32,2015000019044,18,4,2,3,1,2,20,12,3,1,1
33,2015000019044,18,4,1,3,1,3,25,6,3,1,1
34,2015000021082,48,5,1,1,2,1,47,12,1,1,1
35,2015000024130,27,1,2,3,1,1,27,9,5,1,1
36,2015000024130,27,2,1,3,1,2,28,9,5,1,1
37,2015000024130,27,2,1,1,,3,24,2,5,1,1
38,2015000024130,27,2,2,1,,4,30,1,5,1,1
39,2015000024130,27,2,2,1,,5,30,1,5,1,1
40,2015000024695,22,1,1,3,1,1,22,9,4,1,1
41,2015000024695,22,2,2,2,2,2,23,9,4,1,1
42,2015000024695,22,2,1,1,,3,26,2,4,1,1
43,2015000024695,22,2,2,1,,4,19,1,4,1,1
44,2015000025309,10,3,2,1,1,1,10,10,2,1,1
45,2015000025309,10,4,1,1,1,2,9,9,2,1,1
46,2015000027968,12,5,2,1,2,1,12,18,1,1,1
47,2015000029023,32,5,2,2,1,1,33,13,1,1,1
48,2015000031793,16,5,1,3,1,1,17,12,1,1,1
49,2015000032616,13,5,2,2,1,1,13,7,1,1,1
50,2015000032806,14,3,1,1,2,1,15,12,2,1,1
51,2015000032806,14,4,2,1,2,2,15,11,2,1,1
52,2015000037588,22,3,2,3,1,1,22,12,2,1,1
53,2015000037588,22,4,1,2,1,2,22,13,2,1,1
54,2015000039265,27,5,2,4,2,1,27,12,1,1,1
