V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000001118,20,3,2,4,1,1,20,13,3,1,1
2,2015000001118,20,4,1,3,1,2,28,7,3,1,1
3,2015000001118,20,4,2,3,2,3,25,6,3,1,1
4,2015000001584,7,5,2,3,1,1,7,10,1,1,1
5,2015000001979,25,3,2,3,1,1,25,12,2,1,1
6,2015000001979,25,4,1,4,1,2,25,12,2,1,1
7,2015000002149,43,1,2,2,1,1,43,7,4,1,1
8,2015000002149,43,2,1,2,1,2,25,9,4,1,1
9,2015000002149,43,2,1,1,,3,28,3,4,1,1
10,2015000002149,43,2,2,1,,4,26,1,4,1,1
11,2015000003269,22,5,2,1,2,1,21,18,1,1,1
12,2015000003910,31,5,2,1,1,1,31,6,1,1,1
13,2015000004622,12,3,1,2,2,1,12,15,2,1,1
14,2015000004622,12,4,2,3,2,2,11,14,2,1,1
15,2015000005041,25,5,2,1,1,1,25,15,1,1,1
16,2015000006257,25,3,1,3,1,1,25,13,3,1,1
17,2015000006257,25,4,2,3,1,2,24,14,3,1,1
18,2015000006257,25,4,2,4,1,3,37,5,3,1,1
19,2015000006437,38,3,2,1,2,1,38,11,2,1,1
20,2015000006437,38,4,2,1,1,2,42,4,2,1,1
21,2015000007743,11,3,1,1,2,1,11,15,2,1,1
22,2015000007743,11,4,2,2,2,2,10,15,2,1,1
23,2015000008246,22,3,2,1,2,1,21,13,2,1,1
24,2015000008246,22,4,1,1,2,2,22,14,2,1,1
25,2015000009536,10,5,2,2,2,1,10,15,1,1,1
26,2015000010694,21,3,1,4,2,1,21,14,2,1,1
27,2015000010694,21,4,2,4,2,2,19,14,2,1,1
28,2015000010862,16,5,1,2,1,1,17,6,1,1,1
29,2015000012669,17,3,2,1,1,1,16,14,2,1,1
30,2015000012669,17,4,2,1,2,2,26,18,2,1,1
31,2015000013029,42,1,2,3,1,1,42,11,4,1,1
32,2015000013029,42,2,1,2,1,2,62,11,4,1,1
33,2015000013029,42,2,2,1,2,3,54,4,4,1,1
34,2015000013029,42,2,1,1,,4,46,3,4,1,1
35,2015000013457,23,5,2,1,2,1,23,18,1,1,1
36,2015000013558,23,5,1,1,2,1,23,18,1,1,1
37,2015000014580,13,3,2,4,2,1,12,14,2,1,1
38,2015000014580,13,4,1,1,2,2,13,16,2,1,1
39,2015000014674,14,3,2,3,1,1,14,8,2,1,1
40,2015000014674,14,4,1,4,1,2,15,9,2,1,1
41,2015000017046,9,3,2,4,1,1,9,7,2,1,1
42,2015000017046,9,4,1,4,1,2,11,8,2,1,1
43,2015000017640,30,1,1,3,2,1,31,11,4,1,1
44,2015000017640,30,2,2,3,1,2,21,8,4,1,1
45,2015000017640,30,2,2,1,,3,21,2,4,1,1
46,2015000017640,30,2,1,1,1,4,30,9,4,1,1
47,2015000018476,12,1,2,3,1,1,12,9,4,1,1
48,2015000018476,12,2,1,2,1,2,12,9,4,1,1
49,2015000018476,12,2,1,1,,3,11,1,4,1,1
50,2015000018476,12,2,1,1,,4,11,1,4,1,1
51,2015000019775,11,1,2,3,1,1,11,10,3,1,1
52,2015000019775,11,2,1,3,1,2,11,9,3,1,1
53,2015000019775,11,2,2,1,,3,12,3,3,1,1
54,2015000021059,11,1,2,3,1,1,10,8,6,1,1
55,2015000021059,11,2,1,2,1,2,10,9,6,1,1
56,2015000021059,11,2,1,1,,3,14,4,6,1,1
57,2015000021059,11,2,1,1,,4,12,3,6,1,1
58,2015000021059,11,2,2,1,,5,10,1,6,1,1
59,2015000021059,11,2,2,1,2,6,13,13,6,1,1
60,2015000022407,13,3,2,2,1,1,13,11,3,1,1
61,2015000022407,13,4,1,2,1,2,15,5,3,1,1
62,2015000022407,13,4,1,2,2,3,11,4,3,1,1
63,2015000023730,14,5,1,1,2,1,14,18,1,1,1
64,2015000025804,22,1,1,1,1,1,23,10,5,1,1
65,2015000025804,22,2,2,1,1,2,20,10,5,1,1
66,2015000025804,22,2,1,2,1,3,23,5,5,1,1
67,2015000025804,22,2,2,1,2,4,23,4,5,1,1
68,2015000025804,22,2,1,1,,5,20,3,5,1,1
69,2015000028584,9,3,2,1,2,1,9,17,2,1,1
70,2015000028584,9,4,1,2,2,2,12,12,2,1,1
71,2015000029212,24,3,2,4,1,1,25,7,2,1,1
72,2015000029212,24,4,1,4,1,2,26,7,2,1,1
73,2015000030647,14,3,1,4,2,1,14,16,2,1,1
74,2015000030647,14,4,2,2,2,2,13,15,2,1,1
75,2015000031101,13,5,1,4,1,1,13,13,1,1,1
76,2015000031202,17,3,2,3,1,1,17,6,3,1,1
77,2015000031202,17,4,2,2,2,2,27,5,3,1,1
78,2015000031202,17,4,1,1,1,3,31,6,3,1,1
79,2015000031268,21,1,2,3,1,1,22,13,3,1,1
80,2015000031268,21,2,2,2,1,2,26,6,3,1,1
81,2015000031268,21,2,1,1,,3,20,2,3,1,1
82,2015000031736,60,3,2,1,1,1,60,12,2,1,1
83,2015000031736,60,4,2,1,1,2,93,8,2,1,1
84,2015000032603,11,5,1,4,2,1,10,14,1,1,1
85,2015000032947,29,5,1,2,1,1,29,10,1,1,1
86,2015000033869,18,3,1,1,2,1,18,15,2,1,1
87,2015000033869,18,4,2,2,2,2,16,14,2,1,1
88,2015000034341,25,3,1,1,1,1,25,12,2,1,1
89,2015000034341,25,4,2,1,1,2,24,12,2,1,1
90,2015000035926,12,5,2,4,1,1,12,10,1,1,1
91,2015000036016,62,1,1,1,1,1,61,14,3,1,1
92,2015000036016,62,2,2,1,2,2,56,10,3,1,1
93,2015000036016,62,2,1,1,,3,58,3,3,1,1
94,2015000036253,13,3,1,2,2,1,12,14,2,1,1
95,2015000036253,13,4,1,1,2,2,19,8,2,1,1
96,2015000036266,32,3,2,2,1,1,32,10,4,1,1
97,2015000036266,32,4,2,3,1,2,42,6,4,1,1
98,2015000036266,32,4,1,1,1,3,30,4,4,1,1
99,2015000036266,32,4,2,1,1,4,25,4,4,1,1
