V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000001465,21,5,2,2,2,1,20,17,1,1,1
2,2015000002226,13,3,1,3,1,1,13,12,2,1,1
3,2015000002226,13,4,2,3,1,2,12,12,2,1,1
4,2015000002457,9,1,2,3,1,1,9,7,3,1,1
5,2015000002457,9,2,1,1,1,2,8,8,3,1,1
6,2015000002457,9,2,1,1,,3,7,2,3,1,1
7,2015000002900,22,5,2,4,2,1,22,13,1,1,1
8,2015000004384,11,3,1,4,2,1,11,15,2,1,1
9,2015000004384,11,4,2,4,1,2,12,14,2,1,1
10,2015000004471,58,5,2,1,2,1,58,18,1,1,1
11,2015000004769,10,1,2,1,1,1,10,9,4,1,1
12,2015000004769,10,2,1,2,1,2,11,11,4,1,1
13,2015000004769,10,2,2,1,,3,14,3,4,1,1
14,2015000004769,10,2,2,2,1,4,12,5,4,1,1
15,2015000004842,5,3,1,2,1,1,6,11,5,1,1
16,2015000004842,5,4,2,4,1,2,7,10,5,1,1
17,2015000004842,5,4,1,2,2,3,9,5,5,1,1
18,2015000004842,5,4,1,1,2,4,8,5,5,1,1
19,2015000004842,5,4,2,2,2,5,7,4,5,1,1
20,2015000005634,23,5,1,3,1,1,23,7,1,1,1
21,2015000006293,25,3,2,4,1,1,25,6,2,1,1
22,2015000006293,25,4,2,3,1,2,25,6,2,1,1
23,2015000006545,27,1,2,1,1,1,27,9,5,1,1
24,2015000006545,27,2,1,1,2,2,36,5,5,1,1
25,2015000006545,27,2,1,1,2,3,23,4,5,1,1
26,2015000006545,27,2,1,1,,4,23,4,5,1,1
27,2015000006545,27,2,2,1,,5,28,3,5,1,1
28,2015000006654,11,1,2,3,1,1,11,5,3,1,1
29,2015000006654,11,2,1,1,1,2,12,5,3,1,1
30,2015000006654,11,2,2,1,,3,12,2,3,1,1
31,2015000008540,24,1,2,2,1,1,24,12,5,1,1
32,2015000008540,24,2,2,2,1,2,26,6,5,1,1
33,2015000008540,24,2,2,2,1,3,28,5,5,1,1
34,2015000008540,24,2,1,2,1,4,26,5,5,1,1
35,2015000008540,24,2,2,1,,5,17,2,5,1,1
36,2015000009968,23,3,1,1,2,1,23,14,2,1,1
37,2015000009968,23,4,2,1,2,2,21,13,2,1,1
38,2015000010894,17,5,2,1,1,1,17,13,1,1,1
39,2015000011852,20,3,1,3,2,1,19,14,2,1,1
40,2015000011852,20,4,2,4,1,2,21,14,2,1,1
41,2015000012465,72,1,2,1,1,1,73,7,4,1,1
42,2015000012465,72,2,2,1,1,2,41,4,4,1,1
43,2015000012465,72,2,2,1,,3,67,3,4,1,1
44,2015000012465,72,2,2,1,,4,66,3,4,1,1
45,2015000013869,19,5,2,2,2,1,19,18,1,1,1
46,2015000013896,3,3,2,1,2,1,2,17,2,1,1
47,2015000013896,3,4,1,1,1,2,2,11,2,1,1
48,2015000014102,4,3,2,2,1,1,4,13,2,1,1
49,2015000014102,4,4,1,1,1,2,4,12,2,1,1
50,2015000014212,40,1,1,2,1,1,39,7,3,1,1
51,2015000014212,40,2,2,2,1,2,43,7,3,1,1
52,2015000014212,40,2,1,1,,3,27,1,3,1,1
53,2015000015227,16,5,1,2,1,1,16,9,1,1,1
54,2015000015961,7,3,1,4,1,1,7,11,2,1,1
55,2015000015961,7,4,2,2,2,2,9,12,2,1,1
56,2015000016233,11,5,1,4,1,1,11,12,1,1,1
57,2015000016485,6,5,2,1,1,1,7,12,1,1,1
58,2015000016553,10,3,1,2,1,1,11,6,2,1,1
