V1,SERIALNO,WGTP,HHtype,SEX,edu,lf,SPORDER,PWGTP,ageCAT3,PERSONTOT,WfACTOR,totPOP
1,2015000000356,7,1,1,1,1,1,7,9,4,1,1
2,2015000000356,7,2,2,1,2,2,9,9,4,1,1
3,2015000000356,7,2,1,1,1,3,9,4,4,1,1
4,2015000000356,7,2,2,1,,4,9,4,4,1,1
5,2015000000985,22,1,2,4,1,1,23,8,4,1,1
6,2015000000985,22,2,1,3,1,2,24,10,4,1,1
7,2015000000985,22,2,2,1,,3,23,2,4,1,1
8,2015000000985,22,2,2,1,,4,27,1,4,1,1
9,2015000001118,20,3,2,4,1,1,20,13,3,1,1
10,2015000001118,20,4,1,3,1,2,28,7,3,1,1
11,2015000001118,20,4,2,3,2,3,25,6,3,1,1
12,2015000001440,14,5,1,1,2,1,14,12,1,1,1
13,2015000001484,30,3,1,1,1,1,30,7,2,1,1
14,2015000001484,30,4,2,2,1,2,36,6,2,1,1
15,2015000001979,25,3,2,3,1,1,25,12,2,1,1
16,2015000001979,25,4,1,4,1,2,25,12,2,1,1
17,2015000002111,16,5,2,4,1,1,17,8,1,1,1
18,2015000002395,10,3,1,3,1,1,10,5,3,1,1
19,2015000002395,10,4,2,3,1,2,15,6,3,1,1
20,2015000002395,10,4,1,4,1,3,13,5,3,1,1
21,2015000003343,22,3,2,2,1,1,22,14,2,1,1
22,2015000003343,22,4,1,1,1,2,23,14,2,1,1
23,2015000004277,14,5,2,2,1,1,15,13,1,1,1
24,2015000004622,12,3,1,2,2,1,12,15,2,1,1
25,2015000004622,12,4,2,3,2,2,11,14,2,1,1
26,2015000005431,13,5,1,2,1,1,13,7,1,1,1
27,2015000005495,20,3,1,1,2,1,20,16,2,1,1
28,2015000005495,20,4,1,1,2,2,28,12,2,1,1
29,2015000006257,25,3,1,3,1,1,25,13,3,1,1
30,2015000006257,25,4,2,3,1,2,24,14,3,1,1
31,2015000006257,25,4,2,4,1,3,37,5,3,1,1
32,2015000006260,14,1,1,1,1,1,15,13,7,1,1
